index,sentiment,cum_sentiment
105.0,1.5714285714285714,22.0
106.0,0.7466666666666667,56.0
107.0,0.64383561643835618,47.0
108.0,0.82758620689655171,48.0
109.0,0.80952380952380953,34.0
110.0,-0.85999999999999999,-43.0
111.0,0.1650485436893204,17.0
112.0,1.140625,73.0
113.0,-0.080000000000000002,-4.0
114.0,1.0,19.0
115.0,0.41269841269841268,26.0
116.0,0.95454545454545459,21.0
117.0,1.1363636363636365,25.0
118.0,1.2758620689655173,37.0
119.0,0.65384615384615385,34.0
120.0,0.57608695652173914,53.0
121.0,1.0833333333333333,39.0
122.0,-0.23076923076923078,-18.0
123.0,0.31746031746031744,20.0
124.0,-0.61764705882352944,-42.0
125.0,0.5,29.0
126.0,1.0212765957446808,48.0
127.0,0.58620689655172409,17.0
128.0,0.23880597014925373,16.0
129.0,-0.36764705882352944,-25.0
130.0,0.11904761904761904,5.0
131.0,1.088235294117647,37.0
132.0,-1.345132743362832,-152.0
133.0,0.075949367088607597,6.0
134.0,0.24528301886792453,13.0
135.0,0.41791044776119401,28.0
136.0,-2.0,-2.0
137.0,0.44444444444444442,8.0
138.0,0.22500000000000001,9.0
139.0,-0.21276595744680851,-20.0
140.0,0.32653061224489793,16.0
141.0,0.16417910447761194,11.0
142.0,0.039215686274509803,2.0
143.0,1.4838709677419355,46.0
144.0,0.40677966101694918,24.0
145.0,0.41249999999999998,33.0
146.0,0.52272727272727271,23.0
147.0,0.92307692307692313,24.0
148.0,0.77966101694915257,46.0
149.0,-0.85470085470085466,-100.0
150.0,1.1923076923076923,31.0
151.0,-0.27058823529411763,-23.0
152.0,0.23728813559322035,14.0
153.0,0.56756756756756754,21.0
154.0,1.2621359223300972,130.0
155.0,1.2903225806451613,40.0
156.0,0.46153846153846156,18.0
157.0,1.096774193548387,34.0
158.0,-0.41666666666666669,-25.0
159.0,0.25,18.0
160.0,0.55102040816326525,27.0
161.0,0.40206185567010311,39.0
162.0,0.76595744680851063,72.0
163.0,-0.37254901960784315,-19.0
164.0,-0.12244897959183673,-6.0
165.0,0.85245901639344257,52.0
166.0,0.14583333333333334,14.0
167.0,-0.14754098360655737,-9.0
168.0,0.42465753424657532,31.0
169.0,0.70873786407766992,73.0
170.0,1.9518072289156627,162.0
171.0,1.6603773584905661,88.0
172.0,0.31521739130434784,29.0
173.0,-0.73913043478260865,-68.0
174.0,1.106060606060606,73.0
175.0,-0.1111111111111111,-13.0
176.0,0.52000000000000002,26.0
177.0,0.54545454545454541,24.0
178.0,1.0804597701149425,94.0
179.0,1.0161290322580645,63.0
180.0,-0.12087912087912088,-11.0
181.0,0.56074766355140182,60.0
182.0,0.74117647058823533,63.0
183.0,0.90909090909090906,90.0
184.0,1.0253164556962024,81.0
185.0,0.072727272727272724,4.0
186.0,0.7857142857142857,66.0
187.0,1.6190476190476191,34.0
188.0,1.8095238095238095,38.0
189.0,1.574468085106383,74.0
190.0,0.34999999999999998,28.0
191.0,0.83333333333333337,45.0
192.0,-0.099236641221374045,-13.0
193.0,-0.41935483870967744,-52.0
194.0,0.82442748091603058,108.0
195.0,1.0948275862068966,127.0
196.0,0.49606299212598426,63.0
197.0,0.10416666666666667,5.0
198.0,0.10000000000000001,6.0
199.0,0.30821917808219179,45.0
200.0,0.8214285714285714,69.0
201.0,0.71153846153846156,37.0
202.0,0.52127659574468088,49.0
203.0,0.42622950819672129,52.0
204.0,0.89743589743589747,35.0
205.0,0.96969696969696972,32.0
206.0,0.60344827586206895,35.0
207.0,-0.26470588235294118,-9.0
208.0,-1.2765957446808511,-60.0
209.0,0.31666666666666665,19.0
210.0,0.13636363636363635,6.0
211.0,-0.26923076923076922,-7.0
212.0,0.48837209302325579,21.0
213.0,0.91176470588235292,31.0
214.0,0.85245901639344257,52.0
215.0,0.1111111111111111,2.0
216.0,-0.45454545454545453,-15.0
217.0,0.55555555555555558,30.0
218.0,0.0,0.0
219.0,0.59420289855072461,41.0
220.0,0.5,11.0
221.0,0.16326530612244897,16.0
222.0,0.69090909090909092,38.0
223.0,-0.17543859649122806,-30.0
224.0,0.78000000000000003,39.0
225.0,0.31914893617021278,15.0
226.0,0.40476190476190477,17.0
227.0,0.33333333333333331,24.0
228.0,-0.24390243902439024,-30.0
229.0,0.45333333333333331,34.0
230.0,-0.027397260273972601,-2.0
231.0,0.24444444444444444,11.0
232.0,0.86206896551724133,50.0
233.0,0.68253968253968256,43.0
234.0,-0.73750000000000004,-59.0
235.0,-0.42708333333333331,-41.0
236.0,1.0158730158730158,64.0
237.0,0.26923076923076922,21.0
238.0,-0.32500000000000001,-26.0
239.0,0.096491228070175433,11.0
240.0,-0.081632653061224483,-8.0
241.0,0.0,0.0
242.0,0.36363636363636365,4.0
243.0,0.036363636363636362,2.0
244.0,0.97674418604651159,84.0
245.0,1.0689655172413792,62.0
246.0,0.15151515151515152,5.0
247.0,0.75,63.0
248.0,0.72649572649572647,85.0
249.0,0.90697674418604646,39.0
250.0,-0.016666666666666666,-1.0
251.0,-0.80487804878048785,-66.0
252.0,0.44444444444444442,36.0
253.0,0.57894736842105265,44.0
254.0,1.6349206349206349,103.0
255.0,0.22535211267605634,16.0
256.0,0.62790697674418605,27.0
257.0,0.39130434782608697,27.0
258.0,0.080000000000000002,6.0
259.0,0.69387755102040816,34.0
260.0,-0.52032520325203258,-64.0
261.0,0.84883720930232553,73.0
262.0,0.53846153846153844,21.0
263.0,1.2173913043478262,112.0
264.0,-0.54838709677419351,-17.0
265.0,0.75,87.0
266.0,1.3870967741935485,43.0
267.0,-0.69999999999999996,-14.0
268.0,0.15151515151515152,5.0
269.0,-0.38709677419354838,-12.0
270.0,1.0,3.0
271.0,0.66666666666666663,16.0
272.0,0.052631578947368418,4.0
273.0,-1.0105263157894737,-96.0
274.0,0.93150684931506844,136.0
275.0,1.4375,23.0
276.0,-0.25190839694656486,-33.0
277.0,0.08771929824561403,5.0
278.0,0.98901098901098905,90.0
279.0,0.54098360655737709,33.0
280.0,0.95348837209302328,123.0
281.0,-0.0083333333333333332,-1.0
282.0,-0.1111111111111111,-4.0
283.0,0.70760233918128657,121.0
284.0,0.86274509803921573,44.0
285.0,0.94444444444444442,34.0
286.0,0.0,0.0
287.0,-0.11428571428571428,-4.0
288.0,-0.51724137931034486,-30.0
289.0,0.58730158730158732,37.0
290.0,0.76530612244897955,75.0
291.0,-0.16513761467889909,-18.0
292.0,0.27777777777777779,20.0
293.0,0.17006802721088435,25.0
