index,dtm_score
779.0,517.0
1870.0,293.0
2005.0,206.0
29.0,180.0
449.0,281.0
291.0,505.0
1334.0,204.0
1401.0,642.0
1291.0,381.0
241.0,185.0
817.0,679.0
809.0,692.0
654.0,1038.0
750.0,341.0
1485.0,616.0
1148.0,415.0
1317.0,529.0
1368.0,113.0
1598.0,730.0
1697.0,1408.0
2045.0,232.0
59.0,681.0
328.0,714.0
1155.0,231.0
1360.0,782.0
1506.0,959.0
1717.0,197.0
382.0,730.0
517.0,364.0
866.0,159.0
1723.0,501.0
663.0,511.0
1955.0,897.0
2014.0,481.0
1743.0,456.0
788.0,734.0
1364.0,699.0
528.0,711.0
847.0,472.0
1750.0,468.0
1495.0,595.0
1593.0,851.0
1384.0,898.0
1501.0,132.0
1950.0,467.0
492.0,690.0
626.0,851.0
1997.0,695.0
2083.0,797.0
2122.0,446.0
109.0,557.0
993.0,731.0
1228.0,781.0
1256.0,645.0
1585.0,611.0
348.0,773.0
526.0,201.0
571.0,713.0
634.0,268.0
794.0,71.0
1556.0,148.0
1670.0,159.0
306.0,666.0
1342.0,184.0
1467.0,945.0
1549.0,833.0
2080.0,631.0
1570.0,1174.0
46.0,1322.0
409.0,627.0
619.0,941.0
1744.0,504.0
1781.0,665.0
2026.0,142.0
56.0,421.0
728.0,310.0
1190.0,860.0
1266.0,613.0
1389.0,246.0
1615.0,267.0
4.0,736.0
1774.0,238.0
235.0,485.0
434.0,1.0
770.0,403.0
1043.0,437.0
1297.0,736.0
1804.0,544.0
2113.0,591.0
116.0,571.0
310.0,689.0
502.0,211.0
1577.0,205.0
1768.0,614.0
1340.0,334.0
244.0,331.0
491.0,445.0
1051.0,715.0
1627.0,728.0
426.0,521.0
106.0,547.0
361.0,463.0
331.0,555.0
790.0,314.0
2117.0,517.0
248.0,478.0
1394.0,635.0
296.0,451.0
796.0,114.0
2103.0,208.0
435.0,634.0
446.0,443.0
183.0,373.0
1097.0,320.0
1657.0,511.0
455.0,453.0
899.0,380.0
973.0,518.0
1752.0,426.0
1956.0,467.0
627.0,512.0
724.0,782.0
762.0,662.0
1181.0,396.0
1449.0,427.0
1470.0,892.0
1484.0,155.0
948.0,800.0
1136.0,638.0
881.0,478.0
355.0,328.0
543.0,190.0
223.0,256.0
553.0,153.0
2099.0,594.0
133.0,584.0
804.0,757.0
1857.0,265.0
2089.0,686.0
1766.0,720.0
1863.0,937.0
1977.0,143.0
356.0,716.0
438.0,293.0
603.0,370.0
1144.0,692.0
2123.0,669.0
465.0,1025.0
1862.0,553.0
658.0,626.0
1336.0,109.0
637.0,813.0
738.0,804.0
681.0,689.0
1123.0,817.0
370.0,723.0
1239.0,659.0
1261.0,85.0
1640.0,895.0
2067.0,159.0
152.0,741.0
157.0,558.0
1574.0,151.0
1660.0,1305.0
1199.0,144.0
692.0,57.0
1349.0,719.0
1926.0,730.0
301.0,1054.0
1309.0,130.0
2081.0,648.0
167.0,137.0
1006.0,402.0
1035.0,702.0
1875.0,75.0
694.0,890.0
1873.0,634.0
1038.0,660.0
1488.0,569.0
1654.0,779.0
2003.0,586.0
860.0,136.0
1789.0,698.0
651.0,887.0
260.0,820.0
778.0,165.0
1320.0,1015.0
1708.0,455.0
1952.0,908.0
36.0,606.0
334.0,940.0
675.0,939.0
713.0,565.0
1197.0,852.0
534.0,646.0
684.0,858.0
1282.0,1097.0
1557.0,929.0
1560.0,552.0
1666.0,1301.0
1764.0,658.0
1954.0,749.0
122.0,234.0
1057.0,645.0
1664.0,782.0
1940.0,453.0
488.0,98.0
1869.0,747.0
98.0,891.0
329.0,613.0
1941.0,1081.0
368.0,654.0
873.0,16.0
1514.0,651.0
1702.0,625.0
609.0,632.0
884.0,173.0
1023.0,245.0
1033.0,588.0
1068.0,209.0
1407.0,175.0
1636.0,597.0
1719.0,409.0
927.0,230.0
1905.0,160.0
358.0,775.0
411.0,242.0
1118.0,219.0
1894.0,287.0
587.0,202.0
1338.0,597.0
169.0,506.0
386.0,646.0
